first_name,hire_date,hire_year
Steven,1987-06-17,1987
Neena,1989-09-21,1989
Lex,1993-01-13,1993
Alexander,1990-01-03,1990
Bruce,1991-05-21,1991
David,1997-06-25,1997
Valli,1998-02-05,1998
Diana,1999-02-07,1999
Nancy,1994-08-17,1994
Daniel,1994-08-16,1994
John,1997-09-28,1997
Ismael,1997-09-30,1997
"Jose Manuel",1998-03-07,1998
Luis,1999-12-07,1999
Den,1994-12-07,1994
Alexander,1995-05-18,1995
Shelli,1997-12-24,1997
Sigal,1997-07-24,1997
Guy,1998-11-15,1998
Karen,1999-08-10,1999
Matthew,1996-07-18,1996
Adam,1997-04-10,1997
Payam,1995-05-01,1995
Shanta,1997-10-10,1997
Kevin,1999-11-16,1999
Julia,1997-07-16,1997
Irene,1998-09-28,1998
James,1999-01-14,1999
Steven,2000-03-08,2000
Laura,1997-08-20,1997
Mozhe,1997-10-30,1997
James,1997-02-16,1997
TJ,1999-04-10,1999
Jason,1996-06-14,1996
Michael,1998-08-26,1998
Ki,1999-12-12,1999
Hazel,2000-02-06,2000
Renske,1995-07-14,1995
Stephen,1997-10-26,1997
John,1998-02-12,1998
Joshua,1998-04-06,1998
Trenna,1995-10-17,1995
Curtis,1997-01-29,1997
Randall,1998-03-15,1998
Peter,1998-07-09,1998
John,1996-10-01,1996
Karen,1997-01-05,1997
Alberto,1997-03-10,1997
Gerald,1999-10-15,1999
Eleni,2000-01-29,2000
Peter,1997-01-30,1997
David,1997-03-24,1997
Peter,1997-08-20,1997
Christopher,1998-03-30,1998
Nanette,1998-12-09,1998
Oliver,1999-11-23,1999
Janette,1996-01-30,1996
Patrick,1996-03-04,1996
Allan,1996-08-01,1996
Lindsey,1997-03-10,1997
Louise,1997-12-15,1997
Sarath,1998-11-03,1998
Clara,1997-11-11,1997
Danielle,1999-03-19,1999
Mattea,2000-01-24,2000
David,2000-02-23,2000
Sundar,2000-03-24,2000
Amit,2000-04-21,2000
Lisa,1997-03-11,1997
Harrison,1998-03-23,1998
Tayler,1998-01-24,1998
William,1999-02-23,1999
Elizabeth,1999-03-24,1999
Sundita,2000-04-21,2000
Ellen,1996-05-11,1996
Alyssa,1997-03-19,1997
Jonathon,1998-03-24,1998
Jack,1998-04-23,1998
Kimberely,1999-05-24,1999
Charles,2000-01-04,2000
Winston,1998-01-24,1998
Jean,1998-02-23,1998
Martha,1999-06-21,1999
Girard,2000-02-03,2000
Nandita,1996-01-27,1996
Alexis,1997-02-20,1997
Julia,1998-06-24,1998
Anthony,1999-02-07,1999
Kelly,1997-06-14,1997
Jennifer,1997-08-13,1997
Timothy,1998-07-11,1998
Randall,1999-12-19,1999
Sarah,1996-02-04,1996
Britney,1997-03-03,1997
Samuel,1998-07-01,1998
Vance,1999-03-17,1999
Alana,1998-04-24,1998
Kevin,1998-05-23,1998
Donald,1999-06-21,1999
Douglas,2000-01-13,2000
Jennifer,1987-09-17,1987
Michael,1996-02-17,1996
Pat,1997-08-17,1997
Susan,1994-06-07,1994
Hermann,1994-06-07,1994
Shelley,1994-06-07,1994
William,1994-06-07,1994
