first_name,last_name,job_title,city
William,Gietz,"Public Accountant",Seattle
Shelley,Higgins,"Accounting Manager",Seattle
Jennifer,Whalen,"Administration Assistant",Seattle
Steven,King,President,Seattle
Neena,Kochhar,"Administration Vice President",Seattle
Lex,"De Haan","Administration Vice President",Seattle
Daniel,Faviet,Accountant,Seattle
John,Chen,Accountant,Seattle
Ismael,Sciarra,Accountant,Seattle
"Jose Manuel",Urman,Accountant,Seattle
Luis,Popp,Accountant,Seattle
Nancy,Greenberg,"Finance Manager",Seattle
Susan,Mavris,"Human Resources Representative",London
Alexander,Hunold,Programmer,Southlake
Bruce,Ernst,Programmer,Southlake
David,Austin,Programmer,Southlake
Valli,Pataballa,Programmer,Southlake
Diana,Lorentz,Programmer,Southlake
Michael,Hartstein,"Marketing Manager",Toronto
Pat,Fay,"Marketing Representative",Toronto
Hermann,Baer,"Public Relations Representative",Munich
Alexander,Khoo,"Purchasing Clerk",Seattle
Shelli,Baida,"Purchasing Clerk",Seattle
Sigal,Tobias,"Purchasing Clerk",Seattle
Guy,Himuro,"Purchasing Clerk",Seattle
Karen,Colmenares,"Purchasing Clerk",Seattle
Den,Raphaely,"Purchasing Manager",Seattle
John,Russell,"Sales Manager",Oxford
Karen,Partners,"Sales Manager",Oxford
Alberto,Errazuriz,"Sales Manager",Oxford
Gerald,Cambrault,"Sales Manager",Oxford
Eleni,Zlotkey,"Sales Manager",Oxford
Peter,Tucker,"Sales Representative",Oxford
David,Bernstein,"Sales Representative",Oxford
Peter,Hall,"Sales Representative",Oxford
Christopher,Olsen,"Sales Representative",Oxford
Nanette,Cambrault,"Sales Representative",Oxford
Oliver,Tuvault,"Sales Representative",Oxford
Janette,King,"Sales Representative",Oxford
Patrick,Sully,"Sales Representative",Oxford
Allan,McEwen,"Sales Representative",Oxford
Lindsey,Smith,"Sales Representative",Oxford
Louise,Doran,"Sales Representative",Oxford
Sarath,Sewall,"Sales Representative",Oxford
Clara,Vishney,"Sales Representative",Oxford
Danielle,Greene,"Sales Representative",Oxford
Mattea,Marvins,"Sales Representative",Oxford
David,Lee,"Sales Representative",Oxford
Sundar,Ande,"Sales Representative",Oxford
Amit,Banda,"Sales Representative",Oxford
Lisa,Ozer,"Sales Representative",Oxford
Harrison,Bloom,"Sales Representative",Oxford
Tayler,Fox,"Sales Representative",Oxford
William,Smith,"Sales Representative",Oxford
Elizabeth,Bates,"Sales Representative",Oxford
Sundita,Kumar,"Sales Representative",Oxford
Ellen,Abel,"Sales Representative",Oxford
Alyssa,Hutton,"Sales Representative",Oxford
Jonathon,Taylor,"Sales Representative",Oxford
Jack,Livingston,"Sales Representative",Oxford
Charles,Johnson,"Sales Representative",Oxford
Winston,Taylor,"Shipping Clerk","South San Francisco"
Jean,Fleaur,"Shipping Clerk","South San Francisco"
Martha,Sullivan,"Shipping Clerk","South San Francisco"
Girard,Geoni,"Shipping Clerk","South San Francisco"
Nandita,Sarchand,"Shipping Clerk","South San Francisco"
Alexis,Bull,"Shipping Clerk","South San Francisco"
Julia,Dellinger,"Shipping Clerk","South San Francisco"
Anthony,Cabrio,"Shipping Clerk","South San Francisco"
Kelly,Chung,"Shipping Clerk","South San Francisco"
Jennifer,Dilly,"Shipping Clerk","South San Francisco"
Timothy,Gates,"Shipping Clerk","South San Francisco"
Randall,Perkins,"Shipping Clerk","South San Francisco"
Sarah,Bell,"Shipping Clerk","South San Francisco"
Britney,Everett,"Shipping Clerk","South San Francisco"
Samuel,McCain,"Shipping Clerk","South San Francisco"
Vance,Jones,"Shipping Clerk","South San Francisco"
Alana,Walsh,"Shipping Clerk","South San Francisco"
Kevin,Feeney,"Shipping Clerk","South San Francisco"
Donald,OConnell,"Shipping Clerk","South San Francisco"
Douglas,Grant,"Shipping Clerk","South San Francisco"
Julia,Nayer,"Stock Clerk","South San Francisco"
Irene,Mikkilineni,"Stock Clerk","South San Francisco"
James,Landry,"Stock Clerk","South San Francisco"
Steven,Markle,"Stock Clerk","South San Francisco"
Laura,Bissot,"Stock Clerk","South San Francisco"
Mozhe,Atkinson,"Stock Clerk","South San Francisco"
James,Marlow,"Stock Clerk","South San Francisco"
TJ,Olson,"Stock Clerk","South San Francisco"
Jason,Mallin,"Stock Clerk","South San Francisco"
Michael,Rogers,"Stock Clerk","South San Francisco"
Ki,Gee,"Stock Clerk","South San Francisco"
Hazel,Philtanker,"Stock Clerk","South San Francisco"
Renske,Ladwig,"Stock Clerk","South San Francisco"
Stephen,Stiles,"Stock Clerk","South San Francisco"
John,Seo,"Stock Clerk","South San Francisco"
Joshua,Patel,"Stock Clerk","South San Francisco"
Trenna,Rajs,"Stock Clerk","South San Francisco"
Curtis,Davies,"Stock Clerk","South San Francisco"
Randall,Matos,"Stock Clerk","South San Francisco"
Peter,Vargas,"Stock Clerk","South San Francisco"
Matthew,Weiss,"Stock Manager","South San Francisco"
Adam,Fripp,"Stock Manager","South San Francisco"
Payam,Kaufling,"Stock Manager","South San Francisco"
Shanta,Vollman,"Stock Manager","South San Francisco"
Kevin,Mourgos,"Stock Manager","South San Francisco"
