employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
205,Shelley,Higgins,SHIGGINS,515.123.8080,1994-06-07,AC_MGR,12000,NULL,101,110
108,Nancy,Greenberg,NGREENBE,515.124.4569,1994-08-17,FI_MGR,12000,NULL,101,100
201,Michael,Hartstein,MHARTSTE,515.123.5555,1996-02-17,MK_MAN,13000,NULL,100,20
114,Den,Raphaely,DRAPHEAL,515.127.4561,1994-12-07,PU_MAN,11000,NULL,100,30
145,John,Russell,JRUSSEL,011.44.1344.429268,1996-10-01,SA_MAN,14000,0.4,100,80
146,Karen,Partners,KPARTNER,011.44.1344.467268,1997-01-05,SA_MAN,13500,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,1997-03-10,SA_MAN,12000,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,1999-10-15,SA_MAN,11000,0.3,100,80
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,2000-01-29,SA_MAN,10500,0.2,100,80
120,Matthew,Weiss,MWEISS,650.123.1234,1996-07-18,ST_MAN,8000,NULL,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,1997-04-10,ST_MAN,8200,NULL,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,1995-05-01,ST_MAN,7900,NULL,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,1997-10-10,ST_MAN,6500,NULL,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,1999-11-16,ST_MAN,5800,NULL,100,50
